Bus_No,Bus_type,Pg,Qg,Pl,Ql,Vmag,Delta,Qmin,Qmax,Vr,Vm,Psh,Qsh,Ir,Im,d_Ir_Vr,d_Ir_Vm,d_Im_Vr,d_Im_Vm,d_Ir_Q,d_Im_Q,delta_IR,delta_IM
61,2,3.44,0.0,1.379,0.28073862276570344,1.02,0.0,0.0,2.4,1.02,0.0,2.061,-0.28073862276570344,2.0205882352941176,0.27523394388794453,-1.980968858131488,-0.2698371998901417,-0.2698371998901417,-0.2698371998901417,0.0,-0.9423223345470445,4.041176470588235,0.28592161337378935
62,2,0.0,0.0,1.0083,0.2026240348084939,0.98,0.0,-0.5,2.0,0.98,0.0,-1.0083,-0.2026240348084939,-1.0288775510204082,0.20675921919234072,1.0498750520616411,-0.2109787950942252,-0.2109787950942252,-0.2109787950942252,0.0,-1.062482469039261,-2.0577551020408165,0.19823395359465568
63,2,0.5424,0.0,1.6459000000000001,0.33248791938827793,1.014,0.0,-0.5,1.1,1.014,0.0,-1.1035000000000001,-0.33248791938827793,-1.0882642998027614,0.32789735639869616,1.0732389544405931,-0.3233701739632112,-0.3233701739632112,-0.3233701739632112,0.0,-0.9591491251527932,-2.176528599605523,0.3368892157922531
64,2,0.5424,0.0,0.519,0.10374680267307268,1.017,0.0,-0.5,0.8,1.017,0.0,0.023399999999999976,-0.10374680267307268,0.023008849557522103,0.10201258866575486,-0.02262423751968742,-0.10030736348648463,-0.10030736348648463,-0.10030736348648463,0.0,-0.9506860936593905,0.046017699115044206,0.10539453476859463
65,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
66,1,0.0,0.0,1.7349,0.354097904426956,1.05,0.0,-0.5,2.0,1.05,0.0,-1.7349,-0.354097904426956,-1.6522857142857144,0.3372360994542438,1.5736054421768708,-0.3211772375754703,-0.3211772375754703,-0.3211772375754703,0.0,-0.8638375985314761,-3.3045714285714287,0.6744721989084876
67,1,0.0,0.0,0.9490000000000001,0.19418729623113903,1.0,0.0,0.0,0.0,1.0,0.0,-0.9490000000000001,-0.19418729623113903,-0.9490000000000001,0.19418729623113903,0.9490000000000001,-0.19418729623113903,-0.19418729623113903,-0.19418729623113903,0.0,-1.0,-1.8980000000000001,0.38837459246227807
68,1,0.0,0.0,0.6673,0.13550104424107098,1.0,0.0,0.0,0.0,1.0,0.0,-0.6673,-0.13550104424107098,-0.6673,0.13550104424107098,0.6673,-0.13550104424107098,-0.13550104424107098,-0.13550104424107098,0.0,-1.0,-1.3346,0.27100208848214197
69,2,4.0,0.0,0.0,0.0,1.05,0.0,-0.5,2.0,1.05,0.0,4.0,0.0,3.8095238095238098,0.0,-3.6281179138321997,0.0,0.0,0.0,0.0,-0.8638375985314761,7.6190476190476195,0.0
70,1,0.0,0.0,0.0,0.0,1.05,0.0,-0.6,0.96,1.05,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.8638375985314761,0.0,0.0
71,2,0.5424,0.0,0.0,0.0,1.05,0.0,-1.25,3.1,1.05,0.0,0.5424,0.0,0.5165714285714286,0.0,-0.49197278911564624,0.0,0.0,0.0,0.0,-0.8638375985314761,1.0331428571428571,0.0
72,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
73,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
